id	qid1	qid2	question1	question2	is_duplicate	
30533	56378	46754	Can I deactivate my Quora account?	How do I deactivate Quora account?	1	1	0.8982254
265734	382763	20552	Is coding only restricted to English?	Are any coding languages written in anything other than english?	1	0	0.7805822
2617	5200	5201	Vietnamese Food: What is proper technique for eating pho?	Do you love Vietnamese food?	0	0	0.957196
247536	360785	360786	How are the amino acid derivative hormones formed?	How are amino acids structured?	0	0	0.9911669
184774	282220	282221	I get jealous when my girl friend posts pictures with other boys, what should I do?	Why do I feel jealous when my girl friend talks or chats with other boys and when I see comments of other boys on her pictures?	0	0	0.96897227
39761	72052	72053	What buisness can we started in 30000 rs?	Which type of business can be started with a little investment of just 30000 rs?	1	0	0.84323543
123664	186132	103197	Poll Question! If you shoot me in The head at 3,5 yars with a 50AE Desert eagle can I survive?	Can you shoot a Dangerous Human easily death with only one 50AE Desert eagle shot?	1	0	0.9740242
273728	392241	375363	Why does my Instagram account unfollow/block people on its own?	Why Instagram block me temporary?	0	0	0.7646916
246634	359715	359716	Is there going to be a Quora meetup in Allahabad anytime soon?	Is there going to be a Quora meetup in Bangalore anytime soon?	0	1	0.89492404
388429	48258	267773	Development Practice: Have you ever worked on a successful water project in urban South Asia? What made it successful?	Development Practice: Have you ever worked on a successful ICT project in South Asia? What made it successful?	0	0	0.9505868
170651	107089	263827	Does misogyny really exist?	Is misogyny real or fake?	1	1	0.5930913
109351	179487	179488	As an entrepreneur, how do you balance wealth vs passion when you start up a project?	Do you think that valuation is an exact science? Should we always end up with the same value when valuing a company such as a start-up?	0	0	0.7567696
271895	390071	303528	What's it like to work at D. E. Shaw Research?	What's it like to work at D. E. Shaw?	0	0	0.9844002
356156	485433	485434	Why do we get the same dream many times? Is there any specific reason for it or does it have something to tell us?	Why doesn't Skype exit when we close the window and instead gets minimized? Is there any specific reason?	0	0	0.809465
195812	108357	296361	Why does coffee make me sleepy instead of active?	How do I not feel sleepy while studying? Coffee does not affect me now	0	1	0.55172217
152458	239521	239522	I was selected for a train and hire program for Cognizant by a firm named Vedicsoft. They are asking for 28000 Rs. Should I join it?	Who is better: a friend that before applying for a job asks another to join or another who just applied for the job (no asking) and got selected?	0	0	0.9997149
119001	193304	193305	Is celibacy normal?	Is celibacy possible?	0	0	0.8857769
213990	319464	319465	How do you filter plastic pyrolysis oil?	How do I filter plastic pyrolysis oil?	1	0	0.9872931
231970	341895	341896	Why USA is no longer a distinguished super power as it used to be some decades back?	Kindly explain me the examination pattern at NIFT college for first year.Which all subjects come under jury for bftech department?	0	0	0.9873847
215074	320852	320853	Who pays the artists, technicians, distributors, theatre owners and all other people involved in a movie?	What happen if a boy kissed her girlfriend so hard?	0	0	0.9339523
39509	71608	71609	Is there any legal or reserved authority to use red ink for company stamp?	Does most of the ink contained in pens never get used up?	0	0	0.9558591
147900	104189	153284	What are some of the best ways to start a conversation with a girl?	How do I start having meaningful conversation with a girl?	1	1	0.8100665
218332	324907	207523	How do I draw a 3D sketch?	How do I draw 3D sketches?	1	0	0.56269306
319547	54799	147040	What will be the effect of the ban of 500 and 1000 rupee notes be on the stock market?	What will be effect on stock exchange of India after ban on 500 and 1000 note?	1	1	0.9837669
281737	401546	83335	Why is quartz written on every clock?	Why do most Quartz based clocks use 1.5V?	0	0	0.8441431
116103	187907	189200	How do I control the tone of my voice?	My teacher's tone and voice is annoying. Help?	0	1	0.9027311
56442	99337	72663	What is the future of e- commerce in India?	What would be the e-commerce future in India?	1	0	0.88883245
75315	128918	49344	Can someone hack my snapchat password?	How do I get someone's Snapchat password?	1	1	0.7006264
218650	220327	325325	How much political influence does the Church of England have in 2017?	Will AAP politics work in 2017 UP Elections?	0	0	0.97201276
130744	126404	209761	I tried to add money to my Paytm account twice but both times the transaction failed and the money was debited from my bank account (that is 2600 twice). After an hour, I received notifications that the money has been credited to my Paytm wallet, but I didn't receive the money in my Paytm wallet. What should I do?	How can I transfer money from Paytm to Paypal account?	0	0	0.974465
12488	24057	24058	What is the best George Foreman Grill for a college student?	How often should I clean my George Foreman grill?	0	0	0.9898245
369313	423657	76036	What are cell membranes? Where can they be found?	What is a cell membrane?	1	0	0.89286315
237334	348471	348472	What is the function of a computer processor?	What is the function of processors in computers?	1	0	0.69793665
331634	458537	458538	Why is my labia minora swollen and itchy?	What are the causes of having a swollen and itchy labia minora?	1	0	0.5104935
50766	9740	7165	How do I get rid of face pimples?	How can I get rid of pimples all over my face?	1	1	0.7350017
288186	409098	409099	When will Windows 10 release?	When will Windows 10 launch?	1	0	0.7605395
281033	380823	400744	What does paperback book mean on Flipkart and Amazon? I understand the difference between an e-book and a hard copy. Will paperback simply be the same as the one that I might buy at any regular store?	What are the best dimensions for a paperback book? Why?	0	0	0.9900237
313752	438386	438387	What are the biggest stories TMZ has broken?	What's it like to work for TMZ?	0	0	0.5207155
175873	75652	56023	Which is your favourite song and why?	What is your favourite song?	1	1	0.59465545
178636	274311	274312	How can I see in which websites on Google Display Network have received invalid clicks?	How can I see in which websites on Google Display Network take the invalid clicks?	1	0	0.92400366
211142	194431	315919	How are the laws regarding self defense weapons enforced in Australia and how do they compare to the way they're enforced in the Philippines?	How are the laws regarding self defense weapons enforced in Australia and how do they compare to the way they're enforced in Slovakia?	0	0	0.87927645
293094	94527	414807	Why is Panera Bread so good?	Why is Panera Bread so popular?	0	0	0.57351583
294521	46047	6313	Is Modi's decision on demonetization of 500 and 1000 notes welcomed by public?	What are the possible implications of Demonetization of 500 and 1000 rupee notes?	1	1	0.9325113
73154	125563	125564	What is the use of attebergs limit?	Mathematics: What is a limit?	0	0	0.9385902
370703	80413	15773	Why do royal lawyers in Great Britain wear wigs?	Why do British lawyers and judges wear wigs in the courtroom?	1	0	0.99076825
48619	55248	86658	How much money deposite in a saving account?	How much money can we deposit in a savings account without any tax?	0	1	0.57563657
225125	333396	333397	Where can I sell my exclusive paintings online in india?	Where can I sell my paintings online?	0	0	0.8705232
322080	447851	419174	"How does Trump believe that Philippine President Rodrigo Duterte calling Obama ""son of bitch"" is a symbol of respect to the U.S. by the Philippines?"	"Why did the Philippine president Rodrigo Duterte call Barack Obama a ""son of a bitch""?"	1	1	0.9708476
50170	89174	89175	How can I make money easily online? I am a student in India studying Computer Science Engineering and I have little knowledge of coding?	Am I wasting time and money studying computer science when I keep getting grade D and failing many other units?	0	1	0.93641776
211185	315967	315968	What is your review of Befikre (2016 movie)?	Movie Review: What is your review of Befikre (2016 movie)?	1	1	0.75402665
90370	151653	151654	What should I do before selling an iPhone?	What precautionary measures should we take before selling of iphone?	1	1	0.501615
316115	1120	101940	What can be the medium budget to visit best places in Kerala for three members (2-3 days)?	Which places should I visit if I am going to Kerala for a week with friends?	1	0	0.81502664
58221	102181	102182	What are examples of homeostatic imbalance?	What are homeostatic imbalances? What are examples of this?	1	1	0.69373184
222306	329827	329828	Should I share my wife for others friend?	Should I share my wife?	1	0	0.816934
97962	162879	162880	How safe it is for a dog to be cleaned with human shampoo?	Is human shampoo safe for dogs?	1	0	0.9907566
62823	109423	109424	What is it like to be pre med at UC Berkeley?	What is it like to be a pre-med student at UC Berkeley?	1	0	0.99255884
266459	8511	287905	Which coaching institutes are the best for CAT?	Which is the best coaching institute for CAT in chandigarh?	0	0	0.74234295
320387	445936	445937	Where can I learn data warehousing?	What is the best way to learn data warehousing?	0	1	0.6384521
356575	104913	485910	What are some tips on making it through the job interview process at Williams?	What are some tips on making it through the job interview process at Williams-Sonoma?	0	0	0.8965566
177078	272301	272302	What is the best list of books to learn the photovoltaics operation using quantum mechanics?	What are the best books to self learn quantum mechanics?	0	0	0.8810535
149908	54335	118891	What font does Twitter use?	What font does Twitter use for their iOS app?	0	0	0.9877395
313355	437914	164756	What happens if the production possibilities curve is a straight line?	Under what circumstance will the production possibility curve be a straight line?	0	1	0.51948524
255979	161544	54418	Is the Samsung Galaxy S7 a better upgrade over the iPhone 6S?	If I want a phone that lasts the longest, should I get an iPhone 6s or the Samsung Galaxy s7?	1	0	0.8597194
126037	203227	203228	How do you make Cadbury dairy chocolate milk at home?	What's so great about Cadbury's bubbly version of Dairy Milk Silk?	0	0	0.5402142
101082	167522	167523	Why is Twitter attracting more followers in the US compared to Europe?	Why do Americans have such different political attitudes to (Western) Europeans. Why is it that Government is distrusted more in the US than in Europe?	0	0	0.9538739
60793	36166	100250	What are some good projects where a novice can make open source contribution?	What are some easy and fun open source or free software projects to work on?	1	0	0.939718
262002	318595	2896	How much time should I spend on Quora?	How much time do people spend on Quora?	0	1	0.74528027
132573	14110	67855	How does the ban on 500 and 1000 rupee notes helps to identify black money and corruption?	By scrapping the 500 and 1000 rupee notes, how is RBI planning to fight against black money?	1	1	0.99479043
49150	87509	87510	What Brand of Inverter Split units are marketed in the Caribbean and which are the leading brands by consumer preference?	Is snus catching on in the United States? If so, which brands are the leading? What do you use?	0	0	0.9772266
204005	261968	25085	How do you say no without saying the actual word - no?	How do I learn to say no?	0	0	0.66162014
64961	112798	112799	What is the probable fee structure of IAS coaching in Kolkata?	How come Flipkart is selling fossil watch under 4k?	0	0	0.99718046
327553	61699	45392	Why can so many people believe, without question, that the Earth is round but not that it might indeed be flat?	Why do some people still believe that the earth is flat?	0	1	0.87308764
35299	64530	49877	How can I improve my writing skills for blogs?	How do I improve my writing?	1	1	0.97188073
300796	423629	423630	I am in love with my cousin (male), what should I do?	How can you keep a relationship going well when you can't see the person? And should I stay?	0	0	0.9151035
2471	4910	4911	How do purified and distilled water differ?	How are distilled water and purified water the same?	1	0	0.9702665
355959	187245	247460	Which is the best training company for Java in Bangalore?	What are the best Java Training company in Bangalore?	1	0	0.6303856
227462	336317	336318	When do you think a sub 2 hour marathon will be run?	How close are we to achieving the two hour marathon?	0	0	0.8622335
237494	107002	348666	How do I talk like a native English speaker?	How can I understand English native speakers' speaking?	0	1	0.8611397
262610	378991	378992	How can I stop feeling bad just because of how much I lift at the gym?	Is it selfish of me to want to learn how to play the piano, sing, draw, etc. just because I always feel so much better after doing such activities despite the fact that I am currently dwindling in school?	0	0	0.99847156
211290	282735	17739	How do I improve chess playing?	How can I improve at playing chess?	1	1	0.8724345
246459	168477	359532	What is the ratio of lesbians to gay men?	Is the love between gay men and lesbians different emotionally than it is for straight people? If so, how?	0	0	0.9739571
271534	389634	389635	How did England became a country?	How did England become a country?	1	1	0.6576446
174002	268282	268283	Is it necessary for Muslim women to wear the hijab? What if they don't wear it?	Some Muslim women wear a burka (veil), whereas, the majority of Muslim women don't. Why is this difference happening?	0	0	0.99103177
356443	876	42016	What are your views on Modi governments decision to demonetize 500 and 1000 rupee notes? How will this affect economy?	What is your opinion on the discontinuation of 500 and 1000 rupee notes?	1	1	0.99244153
82992	140613	10703	Can the Syrian Crisis escalate to a Third World War?	Is Syria the 'main stage' for a Third World War?	1	1	0.7968728
301092	359809	423956	What is the best way to move forward with my website?	How can I move forward as an intern?	0	1	0.58377486
353836	182277	122685	How did Kannada actor sunil died?	According to the theory of evolution, why do we die?	0	0	0.9886939
300072	422825	30268	Which one is the best landing page service at 2016?	What are the best landing page builders?	1	0	0.973435
306758	430354	38661	How do I clear the cache on our laptop?	What does clearing the cache do to your computer?	0	0	0.89660543
403150	536717	536718	What is the best yoga studio in Bangkok?	What is the best yoga studio in L.A.?	0	0	0.85806
90796	152305	152306	Who invented selfie?	How and when did the selfie trend start?	0	0	0.9762263
75076	128545	128546	What is the difference between the OTC Volkswagen stocks VLKAY and VLKPY?	Do value investors buy OTC stocks?	0	0	0.99771035
395489	528476	528477	How can I get into top companies like Amazon, Google, Facebook, DropBox, SalesForce and Box?	Is my resume good enough to get an interview with a top-tier tech company like Google, Uber, Facebook, or Amazon for Software Engineer?	0	0	0.54174334
161227	251283	251284	Are cousins allowed inside Infosys Mysore campus?	Are bikes allowed inside infosys mysore campus?	0	0	0.8599137
335075	35622	462328	How long should i prepare for CAT to get a percentile of 99+?	Do anybody get 99.99 percentile in ATMA?	0	0	0.94854987
332283	459263	459264	Why do people say Quora isn't a dating site when it has clearly brought couples together?	It makes me happy to see people in love regardless of how they met. However, why do others seem bitter when Quora brings couples together?	0	0	0.961729
254229	368913	368914	Can anyone provide me some information about this brand, Black Gloma?	Is Uber known for ghosting applicants instead of sending rejection emails even after completing the panel interview round?	0	0	0.9841031
335722	28435	96655	How do I write a poem with intellect?	How do I write a poem?	0	0	0.7087817
23696	44359	44360	What is the difference between a COO and a CEO?	What is the difference between CEO and COO?	1	0	0.880216
82819	140353	140354	Does intermittent fasting improve the brain radically?	Does fasting improve brain function?	1	1	0.50545174
262053	378302	378303	Is Hillary Clinton’s lead in the popular vote totally represented by her overwhelming lead in California votes?	Is it a fact, California voting out of step with the nation, voted overwhelmingly for Clinton, therefore she owes her popular vote lead to California?	1	0	0.60300744
281016	73449	36244	"How would you answer the question ""Why should we hire you”?"	"What was the best answer for ""Why we can hire you""?"	1	1	0.7232022
157054	174366	245656	How do I find out who’s asking anonymous questions on curious cat?	How do I find the person who anonymously asked A2A for a question and upvoted my answer?	0	0	0.5366051
220315	327391	327392	"How would you word ""damas"" and ""chambelanes"" for an english Quinceanera invitation?"	Which English words are now disappearing?	0	0	0.9924021
238536	349919	349920	Which is the best hair transplant clinic in Mumbai & Nagpur?	How much do hair transplants cost? What is the best clinic for hair transplants near Mumbai?	0	0	0.96583766
291250	183265	412649	If I take too long to think upon a problem or to answer a question, being afraid of mistakes, does that make me slower or retarded compared to others?	If I am a full-time teacher, do you think it's possible to have a side-hobby of learning programming? Or would that take up too much time?	0	0	0.9788898
254323	369019	369020	How could it be harmful to breathe in Raid (used to kill bugs)? I sprayed it on my bed and my friend said it coulld cause brain damage.	Do Olympic players from other countries than India get the same kind of rewards from their respective governments just like here?	0	0	0.98886126
83185	50117	140885	Why was 'Right to Property' removed from Fundamental Rights in India?	What were the consequences of making right to property a legal right from fundamental right?	0	0	0.97076696
126811	204301	204302	What is shadow register?	What is a shadow register?	1	0	0.5963915
73729	126475	126476	What are the best safe proxy servers?	Which is the best proxy server to use?	0	1	0.5593117
171092	201650	264439	Which is the best vegetarian Indian dish?	What is the best vegetarian Indian dish?	1	0	0.75745237
211232	316023	316024	Do you like this cool song?	Should teachers of Economics mention Henry George?	0	0	0.8578128
336373	463727	463728	What language is primarily used in Infosys Mana?	Who even uses R language?	0	0	0.99640924
224215	332236	332237	What are some important lesson you learn from your experiences?	What are some important lessons you learned outside the classroom?	0	0	0.7521446
12885	24784	24785	What are the top ten PC games ever?	What are top 5 games that every PC gamer should play?	1	0	0.7574515
300743	423560	262675	What percentage of the US has been to Disneyland?	What is it like to visit the Disneyland parks in the US and how does it differ from the ones in France?	0	0	0.9323688
77906	132941	132942	What are some things new employees should know going into their first day at Virtus Investment?	What are some things new employees should know going into their first day at Pioneer Investments?	0	0	0.9964084
200593	153237	27440	What hotel in Vythiri Hill-station would be safe for unmarried couples, without the harassment of police, hotel staff, and moral police?	What hotel in Nallamala Hills Hill-station would be safe for unmarried couples, without the harassment of police, hotel staff, and moral police?	0	0	0.9683328
210738	153401	315376	What is meant by turbine?	What is mean by catenary effect in turbine?	0	0	0.9502561
366028	378462	387636	What if I accidentally follow someone I've blocked?	What happens if I accidentally follow someone I've blocked?	1	1	0.5252796
373008	503769	503770	What is the revenue model for blogging?	What could be the revenue model for a blogging company?	1	1	0.6087594
224493	332590	332591	Do the laws of Thermodynamics apply to all energy, including the 'point of matter' that existed prior to Big Bang?	How do the laws of Thermodynamics, apply to the point of energy that existed prior to Big Bang?	1	1	0.5044222
173500	156529	267651	What should I do to sleep better?	What is the best way to sleep better?	1	1	0.80987763
390007	522511	134627	How important is freedom?	Why is freedom important to you?	1	1	0.679813
372334	503057	260092	What are the best business to start with 20 to 30 Lacs of investments?	What are the best businesses to start with 20 to 30 lacs of investment? In technology?	0	0	0.8440229
9848	19125	19126	Is it ok to feed asparagus to dogs?	Is asparagus bad for dogs? Why?	1	0	0.7872507
191125	290379	290380	Who will win if India & Pakistan go to playing politics-game?	Who will win if India & Pakistan play political allies favouring game?	1	1	0.62990135
177211	32318	45188	Should India go for war with Pakistan?	Will India fight a war against Pakistan?	1	1	0.848685
203179	71631	91702	As a teacher, what is the weirdest thing you have seen in your school or classroom?	What is the weirdest thing you have ever seen?	0	0	0.97582597
264714	74376	381540	What are guilty pleasures?	Do you have a guilty pleasure?	0	0	0.58546066
331515	124559	264086	How can you get a loan without having any credit?	How do I get a loan with no credit?	1	1	0.6159297
91034	152644	27753	Will I be rejected from heaven if I accept Jesus as my savior and beg for my forgiveness at the gates of heaven? (For Christians)	What is likely theological significance of Muhammad saying “In heaven, Miriam, the mother of Jesus, will be one of my wives.” Hadith al-Siyuti 6/395?	0	0	0.99926907
212692	23225	22724	What are the strongest majors in terms of job prospects and what are the weakest majors at Colorado College?	What are the strongest majors in terms of job prospects and what are the weakest majors at Hunter College?	0	0	0.9972339
386593	518810	518811	What does innovation mean?	"What does ""innovation"" mean to you?"	0	0	0.91372466
392720	11396	525436	How can I improve my English speaking ability?	I am Marathi medium student then how can I speak fluent English?	0	1	0.81282103
63589	110637	110638	If mangoes are slightly brown and soft inside, have they gone bad?	How do I know if my chocolate has gone bad?	0	0	0.61221576
71512	123047	123048	Will prediction markets ever be popular?	How popular are prediction markets?	0	0	0.70159256
218310	324876	324877	What are the interview questions asked for mechanical engineer?	What are the basic interview questions for placement in mechanical engineering?	1	0	0.885949
370841	13250	19586	Although light beam bouncing between two plates inside a clock is often used to explain time dilation, how can other practical cases be explained?	Could you propel yourself in space by tying a rope to a ball and throwing it, and if so, would the ball be able to pull you a good distance?	0	0	0.9995408
230668	340265	340266	What is the best way to beat frustration?	What is the best way to beat stress?	0	1	0.69216216
158300	245773	247327	Where can I find high-resolution emoji?	Which Emoji flag is used the least?	0	0	0.7858699
305635	1933	18355	HOw do I speak Fluent English?	What are some ways to improve English?	1	1	0.8671594
342250	89361	12966	How can you check who viewed your profile on WhatsApp?	How do I know if someone viewed my profile on Whatsapp?	1	1	0.514495
110650	181381	181382	How does acquired behavior affect a person?	What are the steps to becoming a computer programmer from highschool throughout?	0	0	0.99068075
396816	352431	175741	In India, what is the percentage of black money in the form of cash (500s & 1000s)?	What percentage of black money in India is in the form of hard cash ?	1	1	0.76593864
40099	72599	72600	What's the best Thanksgiving turkey cooking procedure for guaranteeing the juiciest turkey every time?	How do you cook a turkey?	0	0	0.96417713
110296	78382	22729	Does a replacement of 500/1000 rupee notes with 500/2000 rupee notes a panacea for corruption?	How can scrapping use of 500 and 1000 rupee currency notes in India solve problem of corruption?	1	1	0.9339907
320766	76936	2026	Who will win in America presidential elections in 2016?	Who will win the 2016 U.S. presidential election and why?	1	1	0.99278414
260400	376352	376353	I'm a business infromatics student. I'm planning to pursue a master's degree in (engineering and electronics). Am I academically eligible?	If pqrst=243 where p, q, s, r, t are integers, then the difference between maximum and minimum values of (1+p) (1+q) (1+r) (1+s) (1+t)?	0	0	0.99888486
154976	242878	242879	Does boob size matter during sex?	Does boobs size matter in marriage? What is the preferred cup size?	0	0	0.6746585
231587	341429	341430	Why do guys always pay more attention to my friends than me and make me feel invisible?	Facebook blocked links to my website How can I get it unblocked?	0	0	0.8007317
284685	404987	404988	Will Pokémon Sun and Moon be 7th generation? Will it include new Pokemon?	Have we already been shown every new Pokemon in Pokemon Sun and Moon?	0	1	0.9839535
53768	95008	95009	Astrology: Which zodiac sign is the best partner for Libra? And what do you think about Libra characteristics?	Why is Libra the only astrological sign where the symbol is not a living creature?	0	0	0.5940727
259135	117553	286623	Why is my optional Question Details on Quora limited but some people are not?	How do you write longer details for a Quora question?	1	1	0.5787233
85373	2083	144153	How do I know why I was blocked from Instagram?	"I followed and unfollowed the ""Instagram"" profile several times and got blocked yesterday from this, it was fixed today, but it happened to me again. Why does this happen, and for how long will my second block be active?"	0	0	0.989292
67667	109388	117070	Should Mark Cuban run for president in 2020?	Would Mark Cuban be a good candidate for US President (in 2020)?	1	0	0.93099755
156021	27379	40624	What are the safety precautions on handling shotguns proposed by the NRA in Washington?	What are the safety precautions on handling shotguns proposed by the NRA in New Jersey?	1	1	0.8196601
112035	183372	19693	Railways SSE put under group C where all Central govt gives group B status for grade pay 4600?	How much salary will I get at a 4600 Grade Pay?	0	0	0.9987317
23351	43745	12639	Why do people ask question on Quora that can be easily and definitively answered by Googling?	Why do people ask stupid questions on Quora that could be easily answered by Google?	1	1	0.96717703
233034	343165	343166	How come guys who smokes, satisfy girls better in bed than guys who don't smoke even though according to science smoking affects sexual performance?	Do Indian men like Indian women who smoke, drink and are open about sexuality in general?	0	0	0.7015537
286661	407291	407292	"Why did everyone care about Trump misspelling ""unprecedented""?"	What should everyone know about Fred Trump?	0	0	0.96957976
107215	176439	69842	Which intersections in Omaha are particularly dangerous? Why? What could be done to improve them?	Which intersections in Atlanta are particularly dangerous? Why? What could be done to improve them?	0	0	0.50160503
397320	530433	530434	What are the best resources to learn digital signal processing for machine learning?	What are the best resources to learn about digital signal processing?	1	1	0.5925226
165884	193399	257503	What are the cause of high carbon dioxide in blood?	What are the dangers of high carbon dioxide levels?	0	0	0.99095273
68554	118449	118450	What are the best music schools in the UK?	What are good music colleges in UK?	1	1	0.5234483
353382	482432	482433	My daughter likes to wear tight jeans to high school, and shirts that expose just a little bit of midriff. Should I confiscate these clothes?	"My 5 year old daughter asked me whether the ""s"" word is bad. What does this mean? And how can I go around it?"	0	0	0.95184857
203486	306123	306124	Which institute is better, IIT, IIST or IISER? On what basis are they compared?	What limits the popularity of IIST and IISER in comparison with IIT?	0	1	0.8919834
348708	361967	477293	All my dreams are coming true, literally. If I dream something after couple of days it comes to reality. Does that mean I am a psychic?	Does anyone dream of future events that actually come true?	0	0	0.71326905
347139	475578	475579	Is alcohol addictive? If yes, why?	Why is alcohol addictive?	1	0	0.7794678
7419	14495	14496	Why do most married men visit prostitutes?	Why do men visit prostitutes?	0	1	0.5052789
40939	74002	74003	What are the three methods that can be used by the tire pressure monitoring system to determine the location of the tire on the vehicle?	How does tire pressure monitoring system (TPMS) work?	1	0	0.9990972
16373	31218	31219	What is the basic programming used by Google it all Android and applications?	First job, college, terrible.I cant go far in life, have no friends.Suicide is near.Help?	0	0	0.9921421
282907	326796	402937	How can I help a friend who is experiencing serious depression?	How do I help a friend who is in depression?	1	1	0.7065657
295860	18379	14376	Who views Instagram?	Can you see who views your Instagram?	1	0	0.89499307
253129	367596	367597	What does it feel like to sleep with someone you aren't attracted to?	What if you like someone, but you aren't physically attracted to them anymore? 	0	0	0.6612538
67682	90893	113487	Is their anyway to increase height after 23?	Is it anyway possible for man to increase height at or after 23?	1	0	0.8710314
38572	70032	70033	My phone is heating above the battery should I return the phone to snapdel?	Should I use my phone as an alarm clock?  The phone is right next to my head at night.  Will it give me cancer?	0	0	0.92177635
288632	409615	409616	Is it enough to sleep for 4-6 hours?	Is it ok to sleep for only 4-5 hours?	0	0	0.6671849
369265	499687	424002	What are your view on stem cell therapy? Is saving umbilical cord worth(monetary perspective)?	Is stem cell preservation just a scam?	0	0	0.9840238
295900	418019	418020	Did Hillary Clinton ever lie to the american people?	Has Hillary Clinton ever blatantly lied to the American people?	1	1	0.9398771
251463	365578	365579	What is a realistic scenario where Hillary Clinton will drop out of the presidential race?	What happens if Hilary Clinton drops out of race?	1	1	0.9617762
170598	263746	263747	What is my ideology?	What is the ideology of Pakistan?	0	0	0.9413558
230748	304071	20566	What attracted the British to come and rule India for 150 years?	Did the British come to India to rule or for some other purposes?	1	1	0.8393599
109611	25005	179861	What's the algorithm with which random numbers are generated?	Which algorithm is used to generate a random number?	1	0	0.9925046
228230	13184	54361	How much time will spotify take to land in India?	Is Spotify available in India?	1	1	0.6463727
312120	436519	436520	How can I solve this question of Aldehydes and Ketones?	How can you solve this question of aldehydes and ketones?	0	0	0.92279166
111548	182680	182681	What is the funniest Hindi commentary line, in cricket, you have heard recently?	What are the funniest lines from British comedy?	0	0	0.9236856
2342	4657	4658	How do you print a family tree from Ancestry.com?	How can I print documents from ancestry?	0	0	0.933958
262301	378608	378609	Which is better, the Canon EOS 1200D with 18-55mm + 55-250mm lens + 50mm lens combo or the Canon EOS 600D combo with 18-55mm lens + 55-250mm lens?	Why is the Canon 600D with 18-55mm and 55-250mm combo lenses more expensive than the Canon 600D with 16-135mm only?	0	0	0.93196213
20863	39328	39329	How do I change lin space using HTML?	Why is title attribute used in HTML?	0	0	0.8570118
261780	377978	377979	In literature, what does the sea symbolize?	What does the American flag represent and symbolize?	0	0	0.93885726
347289	475747	475748	What is business ethics and ethical business?	What is business ethics? What are the different types of ethical issues in business?	0	0	0.7855727
82224	139475	139476	"What should be a good answer to the question ""Why do you wish to join our company""?"	What is the best answer of the question, why should you have to join our company?	0	0	0.70617014
258609	196570	374218	Do squirrels eat other squirrels?	Do squirrels poop corn?	0	1	0.80030423
273297	391750	391751	How do I remove pimple and acne spots?	What is the best way to remove pimple and their spots?	1	0	0.5806995
302630	425639	425640	I proposed a girl 5 months ago and I asked her three times for a response but she kept on asking for more time. Should I wait for her or let her go?	Can anyone predict my relationship future based on astrology?	0	0	0.99490994
93211	155896	22016	Why do people still marry?	Why do people get married?	1	0	0.7256123
160007	249664	249665	Has anyone gotten married after meeting on Quora?	Have you ever married a person you met on Quora?	1	0	0.8189253
59724	104568	104569	Does taro boba milk tea have caffeine?	What is the best bubble tea flavor?	0	0	0.77906287
118222	53710	192203	Which is the best site to download PC games without any obstacles?	What is the best website to download PC games?	0	0	0.5413723
171699	265273	265274	What is the best road route from Lucknow to Nainital for bike driving?	Which is the best road route from Gurgaon to Nainital?	0	0	0.6589769
284058	25695	28713	Is there any chance of World War III?	Are we getting closer to world war 3?	1	1	0.5878117
249323	362936	63273	What were Adolf Hitler's crimes?	What was Adolf Hitler’s rationale for hating Jews?	0	0	0.97802323
156658	245133	91580	What would happen if you are falling from a great height and a platform is falling with you but you jump up right before impact? Is this possible?	If you are inside free-falling elevator, is it possible to escape from death by jumping upwards exactly before elevator hits the ground?	0	0	0.9931114
131029	210164	159480	What does the S stand for in iPhone 4S?	What does the S in iPhone 4S, 5s, 6s mean?	1	0	0.8075661
91753	153701	153702	Do trombonists and players of the violin family adjust their intonation by ear?	How do NBA scouts adjust their evaluations in light of the scouted player's competition level?	0	0	0.9480996
46957	83905	83906	Is it common for a therapist to ask you to keep them in the loop between sessions?	What are some strong markets right now and that will stay strong for some time?	0	0	0.997413
352786	202604	379431	What is the maximum number of upvotes one answer can get on Quora?	Which answer has the maximum number of upvotes on Quora?	0	1	0.776141
403823	35841	28922	How can I permanently delete my question from Quora? Can deleting the profile help?	How do you delete a question from Quora?	1	1	0.539813
71112	122427	122428	What is the best way to understand and learn maths?	What are some of the best ways to learn math?	1	1	0.8040675
332666	459675	459676	Is coffee fattening?	Is black coffee fattening? If so, what makes it fattening?	1	0	0.81447554
244389	313745	357011	What is fast food?	What is Fast Food Nation about?	0	1	0.84463793
4760	9401	9402	Why are you feeling happy today?	What makes you feel happy today?	1	0	0.5534609
311616	435910	435911	What are the best and innovative news websites?	What are the best website or apps to read news?	0	1	0.67014146
201877	303999	150734	Why do people's lips turn white when they are afraid?	Why do people purse their lips in thought?	0	1	0.83121526
90406	151707	151708	What are the benefits and drawbacks of cultural diversity?	What are the downsides of cultural diversity?	1	0	0.6414818
158169	69538	247146	How do I add question details digitally on Quora?	How can I add question details and edit topics on Quora with the new system?	0	1	0.69809633
318118	443422	393038	Can children see ghosts?	How can the children see ghost?	1	1	0.6890531
163799	254683	254684	Have you ever taken a job at a call center and learned you were part of a scam?	How did call centers in India managed to do Fake IRS Collection scam?	0	0	0.9531518
54975	96984	96985	What are the best applications that were developed in C language?	Which language is best, C, C++, Python or Java?	0	0	0.96284986
322240	448036	448037	What does int *(a) [20] mean?	What does 'int N = 1<<20;' mean?	0	0	0.97891027
